label,title
1,No. 7 Utes Go for First School 9-0 Start (AP)
2,Dow Knocked Lower by Merck's Drug Recall
1,Day 2 in Kobe Bryant jury selection
1,Thumbs up for Woodward and Jenkins
2,"Bank of America Cutting 4,500 Jobs in Reorganization (Update3)"
2,Delta Air #39;s Revival Plan Preaches Austerity
1,An irregular regular loss
2,Battle Between Oracle and PeopleSoft Shifts to Delaware Court
2,KPMG Units Agree to Pay to Settle Malpractice Suits
3,Readers embrace Welsh language tool
2,Rank mulling sale of film unit
3,U.S.-Russia Space Crew Lands on Earth (AP)
0,Iraq Will Hold Elections on Jan 27-Vice President
2,Applied doubles revenue
0,Australian PM calls election on Oct. 9
2,U.S. Oil Holds Above  #36;46 on Supply Fears (Reuters)
2,Overseas investors to visit South Korea hub
0,"Condoms, Parades Mark AIDS Day; China Gets Tough"
0,Ten including 5 Indian troops killed in Kashmir violence
2,"UPDATE 4-General Dynamics profit jumps, hikes full-year view"
0,"Indian PM Visits Kashmir, Troops Start Pullout"
1,Top-seeded Roger Federer beats Carlos Moya to remain undefeated
3,Proxim settles patent lawsuit with Symbol
1,Barrichello #39;s Chinese banquet
3,File-sharing not a threat to musicians and artists
2,Citigroup Says It Will Issue American Express Cards
1,Notes: Bed pains Wood #39;s back
1,All Business on This Trip
2,Some fear it's a passport to identity theft
3,Olympic-size security demands advance planning
0,Iraq #39;s Chalabi escapes assassination
3,"Nokia plans new, lighter version of Communicator"
0,"Dutch Anti-Terror Raid Over, Two Held"
0,"British, Spanish tourists stranded for four days in Bolivian Andes (AFP)"
1,Rain wipes out NASCAR qualifying
0,Four Palestinian shot dead; Israelis mount search operation in &lt;b&gt;...&lt;/b&gt;
2,Update 2-Federated Investors report lower earnings
2,NYMEX Crude Hits Record \$46.76
1,Encarnacion Leads Marlins Over Rockies 4-3 (AP)
1,Canada Nips Finland 3-2 in World Cup Final (AP)
2,Oil Prices Hit Highs on Winter Fuel Woes
2,Quattrone gets 18 months
2,Oil Eyes \$44 as Hurricane Nears Gulf
3,Ill. Gov. Seeks Ban on Violent Video Games (AP)
2,Why Bush is on the carpet with Hoover
0,Kerry Decries Bush Plan to Recall Troops
0,"Defence minister sees damage to Chicoutimi, meets with British"
0,MTV Awards May Be Toned Down
0,Spam e-mails tempt net shoppers
1,Deakes takes a walk into history
3,New defense consortium aims for greater systems interoperability
2,Wall St. Seen Mixed; PeopleSoft Seen Up (Reuters)
3,Blurry Image Might Be First Picture of Exoplanet (Reuters)
2,Drug: Test results excite Alpharetta maker
1,Devil Rays stuck in Florida hours before game
0,Mystery blast no accident: N Korea
2,Dollar Edges Up After Euro Talked Down
0,China Netcom Makes Strong Exchange Debut (AP)
0,Australia pressured for NZ law change
2,"Pols, Don't Count on Recounts"
2,Stability Pact: France and Germany off the hook for now
2,"Ford to Cut Jaguar Car Production by 15,000 Units (Update1)"
3,Soldiers' War Blogs Detail Life in Iraq
0, #39;US arms to Islamabad could impact India-Pakistan ties #39; (LEADS &lt;b&gt;...&lt;/b&gt;
0,Second storm in a week hits eastern Philippines; more than 300 dead (Canadian Press)
1,No finishing kick left for Pappas
3,Video Games Used to Relax Kids in Hospital (AP)
1,No. 19 Michigan Defeats Indiana 35-14 (AP)
3,Bush and GOP Web Sites Suffer Outages
1,Cal #39;s demoted to Holiday Bowl
1,Beckham Criticized for Suspension (AP)
0,"Twelve Iraqis Die in Car Bombs, Clashes"
0,"Munch's Famous 'Scream,' 'Madonna' Stolen"
1,Gotta Love This Time Of Year
3,Verbatim to make discs with HP labeling feature
1,Attack on referee costs Roma dear
2,Universal Life Resources sued by Calif.
3,Russian Supply Craft Docks with Space Station (Reuters)
1,NHL Must Determine if It Is Certain About Cost Certainty
0,"NATO, Russia to Boost Anti-Terror Cooperation"
0,Arrests in embassy bombing: report
0,"In Mexico visit, enmity greets Harvard scholar "
1,TO rips R. Lewis again
0,In the Eye of the Storms
1,Second doping test on Irish winner Waterford Crystal positive &lt;b&gt;...&lt;/b&gt;
2,Former Banker Quattrone Faces Sentencing
1,Penalty miss allows Arsenal off the hook
1,Canas to Meet Lopez in Second Final in Two Weeks
2,"Update 1: Six Flags Shares Up on Gates, Redskins"
2,Nortel hires Accenture to help fix global financial organization &lt;b&gt;...&lt;/b&gt;
0,Rumsfeld Arrives at Desert Marine Base in Iraq
2,Prudential plans one-billion-pound share sale
3,Can Biotech Crops Be Good Neighbors?
3,Smart Phone Market Growing Rapidly
1,South Africa pushes ahead with its bid for a GP
0,4 nations lobby jointly for permanent seats
2,"NC should cheer Dell deal, but we must weigh wisdom of incentive &lt;b&gt;...&lt;/b&gt;"
3,Microsoft MSN Desktop Search Is Out In Beta
2,Monday Fortune Business Report
1,"COL FB: Connecticut 29, Pittsburgh 17"
3,EU Pursues Oracle-PeopleSoft Case (AP)
3,"A Caution on Kids, Technology"
2,Greenspan Not Worried About Energy Prices (AP)
2,Nike CEO Philip Knight resigned
2,Update 2: Viacom Posts Loss on Blockbuster Charge
2,After the Bell-Texas instruments up after sets share buyback
1,His father made him a Cardinals fan forever
2,"Aviva to shift 950 jobs to India, Sri Lanka"
2,Bankers wait for extradition news
3,Biometric gear to be deployed in hospitals and GPs' surgeries
0,Egypt and Israel sign US-brokered trade agreement
3,Microsoft #39;s  quot;Broader quot; Search Strategy
2,"Airbus, Boeing in subsidies battle"
3,"2004 Was Year of Netsky Worm, Web Firm Sophos Says"
0,Hostages Face Death in Iraq
2,Solid third quarter for AT amp;T Wireless
0,Ex-Chess Champion Fischer to Marry Japanese Woman
1,Barnstable has its way once more
0,Charges are reduced for one Abu Ghraib defendant
0,"WTO rules against EU sugar subsidies, bloc to appeal (AFP)"
1,Aussie wins title by KO
1,Rugby-Lions accept extra match on 2005 New Zealand tour
3,Yahoo pages to get touch-up
3,New Screening Technology Is Nigh
1,Lightning Reacquire Prospal From Ducks (AP)
0,New compromise on ivory trade reached
0,Concorde: judges call in US airline
2,US Airways Retains Its Previous Adviser
0,Iraq ; Black Watch soldiers remain defiant
0,Sadr orders followers to cease fire across Iraq
3,"China shuts 1,600 cybercafes"
3,HP unveils cavalcade of consumer products (MacCentral)
1,BC makes HC pay penalty
3,Iconic grilled cheese whips us Net frenzy
3,PalmOne Introduces a Memory-Packed Organizer
2,Advanced Marketing Lowers  #39;04 Estimates
3,Cassini on Course for Titan Flyby
0,Columbus' Tomb Opened on Anniversary (AP)
0,Turkey Pushes Ahead With Improvements (AP)
2,Mobile Mappers Stop Short of Ideal
2,Federal Tax Agency has Thousands in Refund Checks for Alabamians
0,Tropical storm death toll hits 13
0,S Korea's Roh visits Iraq troops
0,"Pakistan to Sell Islamic Bonds by January, Aziz Says (Update2)"
1,Finley Returns From Injury List to Mavs (AP)
0,"Syria ready to renew peace talks with Israel, envoy says "
3,Google launches Froogle in time for Christmas shopping
2,"India, GCC agree to promote economic cooperation"
1,Wrexham Crisis Moves into Extra-Time
1,Urlacher out four to six weeks
0,Bush Opens Lead Despite Unease Voiced in Survey
3,Red Roof Inns Selects T-Mobile for Broadband Service (NewsFactor)
3,Skoll urges valley to create local endowment (SiliconValley.com)
2,FCC Rules Vonage is Not Subject to State Jurisdiction
0,Pakistani Forces Attack Terrorist Lairs
0,Middle East ; Iran Rules Out Complete Nuclear Dismantling
0,US steps up pressure over Darfur
3,"BlackBerry, Bluetooth Miss a Shot to Move Into More Hands (washingtonpost.com)"
0,Militants say 2d US hostage killed
3,SCO Web site hack mocks company's legal claims
0,Fatah Council Backs Abbas for Palestinian President (Reuters)
3,Netopia to Restate Results (Reuters)
3,Sparring begins in Kazaa trial
3,Apples iPod takes a bite of hip culture
1,Ecclestone driving a hard bargain
0,Hungary citizenship fails due to low turnout
1,Troussier sets to take over Marseille
1,Vols lose top linebacker for season with injury
0,Europe and China: keeping pace with a growing giant
3,Amphibians face mass extinction threat
1,Jets Say They Didn #39;t Run Enough Last Season
1,"College Basketball: Illinois, UConn Cruise; Virginia Upset"
3,Google Puts Library Collections Online
2,ADB sees stronger growth in Asia
3,Firefox browser sees surge in use
2,Monsanto Says Justice Dept Closes Inquiry
0,Thousands attend funeral of murdered cleric
0,Russia Demands U.N. Terror Suspect List (AP)
0,Mortar attack wounds Iraqi guards
0,Sistani Urges Supporters to Wait at Najaf Gates (Reuters)
0,Progress on Bilateral Talks between Singapore and Malaysia
1,US beats Brazil for Olympic gold in womens football
0,Syria condemns assassination attempt against former Lebanese &lt;b&gt;...&lt;/b&gt;
3,Failed Mars Probe Blamed on Lack of Funds
1,Athens gay scene out for the Games
3,Sprint's Planned Nextel Deal Builds on Wireless Strength (washingtonpost.com)
1,Loeb cruises to victory in Australia
2,Enron probe turns focus to 1.3 mn stock sale by Lay #39;s wife :
3,Gates unveils operating system (SiliconValley.com)
0,Hamas Gunmen Vow More Attacks on Israel
0,Special UN meeting on Sudan  quot;momentous: quot; Sudanese sources
2,Oracle announces final PeopleSoft offer
1,Roosters setback
3,"For a Teenage Boy, a Basketball and a Bug Spell Trouble"
2,Stocks Higher on Drop in Jobless Claims
3,Dell CEO Says Considering AMD Chips for Servers
3,Woes of Warming Arctic to Echo Worldwide Via Birds (Reuters)
3,Game sparks sales frenzy
1,AL Notables
2,American Express to Replace Auditor (Reuters)
1,Linebacker Davis is latest Brown lost for year
1,Martinez never tougher to gauge
3,Taking the Express Train to Venus
1,Mets Are on Verge of Signing Martnez as Boston Bows Out
1,"We #39;ll get it right, claims Gerrard"
1,Frazar fires 64 to share Vegas lead
1,Blazers #39; Randolph misses team flight
2,Highland buys Tremont Boston in four-hotel deal worth \$227M
1,Els maintains lead at American Express Championship
1,No. 1 LSU women roll past North Texas
0,UN launches 210-million-dollar appeal for flood-hit Bangladesh (AFP)
2,Dollar Weakens on Sense of Economic Gloom
0,Scottish aid worker killed by land mine in Sudan
3,"In Cellular Towers' Shadows, Anxiety"
2,State Vioxx users line up to sue over heart ailments
0,Suicide theory over crash
3,Microsoft antispam suit targets 'bulletproof' Web host
2,"Comcast Up, Blockbuster Off Before Bell (Reuters)"
2,"Altera, KLA drag down SVI"
0,Planes 'blown up by terrorists'
2,"RIM infringed NTP patents, appeal court rules"
0,"Kabul Blast Was Outside U.S. Embassy, No U.S. Casualties (Reuters)"
1,Early is too late
3,Experts deny ET signal report
1,Socceroos #39; Kewell edge
1,Birk won #39;t play Sunday
0,Congress Passes Historic Spy Agencies Bill (AP)
3,"In the E.R., Learning to Love the PC"
1,Manning and Giants in Line of Fire
1,Wenger will not yield
3,Cosmic explosions could precede supernovae
0,Thais plan origami  #39;peace bombs #39;
0,Chaos continues in Gaza City
3,Recording Industry Files More Downloading Suits
0,"UN, Haitian police round up 75 in dawn sweep to curtail violence"
3,Humans Ran Into Evolution
1,Putting Woes for Tiger as Problem Shoulder Improves
3,Lycos Offers Spam-Server Attack Program (AP)
1,U.S. Postal Upsets Favorites in Tour of Spain
2,NCR Recalls Inkjet Refill Kits
1,Super Bowl 39: Patriots -- again
1,Cavaliers sign Lucious Harris
2,Tokyo Stocks End Flat
3,Air Force Awards Tablet PC Project
0,Actor Fox Appears in Kerry Campaign Ad
2,"Verizon, Bain Near Canada Directory Deal"
1,Ratings Win Gold for NBC
3,Australia blamed for bin Laden panto appearance
3,Extremely Critical Winamp flaw
3,A First Look At PalmOne #39;s T5
1,Pound suggests Hamilton skirted justice
2,Microsoft Expands Operations in India
1, #39;I felt I #39;d let everyone down. But nobody was hurting inside as &lt;b&gt;...&lt;/b&gt;
2,Oil Prices Surge to a New High Today
3, #39;Marathon mouse #39; doubles stamina
0,"Russia, India vow to fight terror (AFP)"
3,GENESIS Returns to Earth:
0,Seven dead in Afghan attacks as vote count resumes (AFP)
0,Lebanese Cabinet Votes to Extend President #39;s Term in Office
2,Prime-Time TV Plan for Martha Stewart
1,"India,Sports ; Jankovic to joust with Sharapova for semis spot"
3,Judge Dumps Child Porn Law
3,FBI Sting Targets P2P Operation
3,Start-up pitches high-end Web apps on the cheap
3,Stratus Unveils Low-End Fault-Tolerant Server (Ziff Davis)
0,Report: Israel set to collide with EU
2,Motorola Picks A Smart Fight
2,UPDATE 1-Sola says agrees to be sold for \$815 mln
2,"Stocks Open Lower; Intel, Oil Stocks Down"
3,"After Trio of Explosions, Scientists Say Supernova Is Imminent"
1,Forgive and forget
0,"Give me back my rights, Milosevic tells appeals court (AFP)"
1,Larsson #39;s season in jeopardy
3,MSN Messenger targeted by Funner.A virus
2,Adelphia Mulling Offer from Time Warner-Comcast
0,"Karzai declares Afghanistan and Pakistan ""brothers in fighting terror"" (AFP)"
1,"Swimming: Fifth Gold, Seventh Medal for Phelps"
1,Snapping out of it
1,SI.com
0,Liverpool slur puts Tory on back foot
0,Bush Ready to Accept GOP Nomination
0,Four Killed in Baghdad #39;s Green Zone
3,AMD Disappointed by 64-Bit Delay
3,Groups Challenge Rules on Pesticides (AP)
3,iPod Lifts Apple
1,Big East braces for growth spurt
0,Sharon resists calls for vote on Gaza
3,How to use multiple iPods with one Apple Mac or Microsoft Windows &lt;b&gt;...&lt;/b&gt;
1,Anti-Terror Chief Encourages Fans (AP)
1,Molson Indy Vancouver gets black flag
2,Oil slips below \$47 a barrel to 7-week low
2,JJB profit and bid hopes fade away
0,"Japan, US sign missile defense cooperation memo"
3,Microsoft Sets Licensing Policy for New Chips
2,"Colombia back in business, needs reforms-Uribe"
0,Kremlin Choice Appears to Win in Chechnya
1,"Pedro, Red Sox offer up few Rays of hope"
2,Costco Is Accused of Sex Bias
3,Thunderbird Leaves the Nest
1,Sheffield Says He Unknowingly Used Steroids
3,Open-source programmer rebuts charge
3,Software promises to read want-ads for you
2,"US 10-Year Treasury Note Yield May Hold Near 4, Survey Shows"
3,Canadian Inventor Lets Everyone Be an Armchair Spy
0,Berlin marks anniversary of Wall #39;s fall
2,"US factory, construction data show solid growth"
1,"For Dempsey, soccer impasse qualifies as a concern"
2,US jobless claims fall
0,US punishes troops over stun guns
2,"Schwarzenegger, auto dealer settle"
3,Linking remote SME workers to their office networks
0,US not involved in Afghan vigilante trial-official
3,Acer revs new Ferrari notebook
1,UEFA to probe Valencia-Werder Bremen incidents
2,Delightful Dell
0,Drug Smugglers Blamed in Afghan Attack
3,Hitachi drive to connect with consumer devices
2,Symantec to Buy Veritas Software in Deal Worth \$13.5 Billion
3,First Look: Polaroid's Snazzy Photo Printer
3,Delving Deep Inside the Searcher's Mind
3,HP learns the uselessness of utility
1,Teenage Khan goes for gold
1,NFL Game Summary - Chicago at Tennessee
1,Rossi admits surprise at title
0,Protests at GM job cuts to spread
3,Stick to XP SP2 says Gartner
0,Croatia Presidential Race Goes Into Second Round
2,Qualcomm to build \$800m US wireless media network
2,Hong Kongs GDP expands 7.2 on tourist spending
1,Middle management
1,Funny Cide a Classic tale of redemption?
3,Toshiba Wins Support for HD DVD from 4 Film Studios
2,US Fed confidence in outlook grows
1,Bernie braves the Bank
1,Grand prix snag for Silverstone
2,Stern Stance for Europe's New Antitrust Chief
0,Opec considers fresh output rise
2,Jobless Claims Down in Latest Week
2,Tokyo Stocks Open Lower; US Dollar Down
0,Death toll rises to 10 in Quezon train mishap (10:50 am)
0,Hostage negotiators #39; worst nightmare
3,Yahoo! takes two-pronged approach to digital music
2,Generosity warms chilly morning
2,"AT T to Cut About 7,000 Jobs (Reuters)"
2,SEC to make qualifications of independent directors harder
2,Gas Prices Drop As Crude Oil Supply Rises
1,Major Leaguers Take 3-0 Lead in Japan (AP)
3,"Microsoft, HP pleased with results of .Net partnership"
0,Three held over Brazil land clash
3,ICQ joins Web mail battles with new service
3,Thin glaciers get thinner in Antarctica
2,Record results for Dell in third quarter
1,Hamm Pleads Case as the One and Only Champ
1,Adjustment Buoys Byrd
0,Arsenal trio in injury race for Old Trafford summit (AFP)
2,Sympathy for Pfizer
0,India test-fires missile
0,"US urged to negotiate with N. Korea, improve image in Asia &lt;b&gt;...&lt;/b&gt;"
0,Falluja Rebels Had Enough Arms to Rule Iraq -U.S. (Reuters)
2,A Whole Lot to Swallow
2,Marsh CEO Says Probe Near End
0,Two bodies found in Iraq
3,RSS Edges Into the Bureaucracy
0,Bush Spends Last Day At Pacific Rim Summit In Chile
0,UK jail suicides at record high
3,Gallup Poll Moves Online With Webcast
0,Fallujah 'Hostage Slaughterhouses' Found (AP)
2,"Group of Cities, Counties Sues Microsoft"
0,Earthquake of Magnitude 6.8 Jolts Tokyo
0,Militant Youths Shut Three Oil Flowstations
1,Will Packers Help Kerry For President?
2,Hutchison arm rules out dividends
0,Film-maker is murdered for his art
0,Japan Airlines Sees Profit on Int'l Travel (AP)
3,Gateway brings BTX design to business desktops
3,FTC Goes After Spyware Operations (NewsFactor)
0,Pageantry Planned for Bush Inauguration (AP)
2,South African growth accelerates
3,Search engine for developers is hailed
2,Delta Sees Much Wider 3rd-Qtr Loss
2,Dollar Drifts Lower as U.S. Data Weigh
2,Interstate Bakeries Files for Bankruptcy
3,China homespun 3G unravels in trials
1,BRAWL-OUT WAR ... the 1990 clash
1,"Hewitt, Serena advance at US Open"
1,Key college games on TV
3,Starbucks Serves Up Digital Music
0,Suicide Car Bomb in Baghdad; U.S. Pounds Falluja
3,Comet Research Pioneer Fred Whipple Dies (Reuters)
0,Powell Maintains Tough Stance on N. Korean Weapons Program
3,Cisco Q1 revenue up slightly
3,AP: Israel Cave Linked to John the Baptist (AP)
1,Portsmouth Manager Redknapp Resigns to Take Break #39; From Soccer
1,S. Mississippi Tops North Texas 31-10 (AP)
1,Another opponent is left smarting
0,"Maoist rebels bomb Kathmandu building, no injuries (Reuters)"
0,45 dead in raid on  #39;closed #39; township
3,Sun Services CTO talks up Next Generation Data Center
1,Closer Brad Lidge Delivers for Astros (AP)
3,How lizards walk on water
3,Cut n #39; paste and colour codes
2,success story
0,"China Mine Blast Kills at Least 56, 100 Missing"
3,Yahoo to close online payment service
3,MOM farms out all IT-related functions
0,Strongest quake in five years hits Taiwan
0,Hu and Jiang jockey for position
3,Symantec plugs holes in firewall
1,Flawless Federer is fantastic
3, #39;It flew like a dream #39;
1,Strong start benefits Pavin
2,Huge and Proud of It
1,Eto #39;o on target
2,Interbrew Ambev Buy Wins Shareholder OK
3,Review: Robovacs No Match for Normal Vacuum Cleaners
3,New Nukes at U.S. Border
0,Romania Presidential Runoff Seen Too Close to Call
1,Brown Says He May Never Get Over Athens (AP)
0,Rodeo: Kelly Maben Win in Barrel Racing
1,Report: \$15M ransom for Urbina #39;s mother
0,Mexico Arrests Local Official in Killings (AP)
3,News.com Extra: Experts warn of Net flu vaccine scam
1,"Players, Team Owners Facing Long Contract Talks"
1,Paris is favorite for 2012
2,Amtrak in Another Hole with \$1.3 Bln Loss
1,Steelers G Simmons Out for Season (AP)
1,London submits 2012 Olympic bid
1,Ulmer gives New Zealand historic gold
2,United Air Raises Fuel Surcharge
0,Nepal capital under curfew for 3rd day; violators ordered to be &lt;b&gt;...&lt;/b&gt;
2,Jobless Claims Drop More Than Expected (Reuters)
3,Infocus: SSH and ssh-agent
0,Falconio suspect to stand trial
2,"Nikkei, Hang Seng rally smartly"
0,"Hurricane Ivan Kills 20 in Grenada, Heads West (Reuters)"
1,Starters were finished early
3,Plans for new Beagle trip to Mars
2,Job fears as Deutsche culls chiefs
1,Strahan out for the season
1,Valencia Victory Sets Up Frantic Werder Face-Off
0,"Car Bombs, Clashes Kill 12 Iraqis"
0,WHO tobacco treaty to become law in 90 days
2,Sprint Speeds Up Wireless Network
3,Time Warner Stock Has Room to Rise-Barron's (Reuters)
3,IBM Expands RFID offerings
3,"PDAs incorporate barcode scanning, VoIP"
3,AOL launches program for AIM bots
3,Rival Technologies Vie for 'Green' Car of Tomorrow (Reuters)
2,Banks want BJ #39;s to pay for credit card fraud
1,Nelson looks to  quot;sting quot; field in Constellation Energy Classic
3,Unlocking the chip's inner Hemingway
1,Improving Bucs Think They're Back on Track (AP)
0,UDA seeks part in Ulster talks
2,Inside Politics
2,Continental Airlines Adds Service Fee
2,Multiplex makes Ronin bid official
1,Mids Go Bowling
1,Shorter season would liven up Series
1,Oklahoma State supporting cast grabs spotlight against Syracuse
3,Discounts bite into NTT DoCoMo #39;s results
2,"Jaguar to Eliminate 1,150 Jobs"
1,UMass hasn't cleaned up act
2,Steps to climb out of debt
3,Space Shuttle Crawler Gets New Shoes
3,"Intel, Microsoft To Debut  #39;Digital Joy #39; Campaign"
1,NL Wrap: Jones Leads Braves Closer to Division Title
0,"Israel, Europe Could Be on Collision Course-Report"
1,Keane set to reinforce Ireland against Swiss
1,Stanford ties Arizona in poll Media splits on who #39;s favorite in &lt;b&gt;...&lt;/b&gt;
3,Sony introduces pro high-definition video system
2,Oracle ups PeopleSoft offer to \$24 per share
1,NBA Wrap: McGrady Leads Rockets to Stunning Win
0,President's party 'wins Kazakh poll'
2,Morrison speeds up Safeway rebranding
2,Campbell's Soupy Results
2,All rosy at which bank
1,Gustafsson Turns Up Heat on Challengers
1,Brady on the ball for NU
3,Philly plans world's largest mesh Wi-Fi net
1,Harris Takes the Field
3,Company Making Fake Urine for Research (AP)
0,S.Korea says it enriched uranium
2,UK Betting gets Euro 2004 boost
2,Insurer Jardine issues warning
1,Allen #39;s absence suspends drama in Sonics loss to Lakers
3,Will historic flight launch space tourism?
3,Technology ; Napster creator unveils online music technology
2,Qwest Near SEC Deal
0,Car bomber raids police convoy
1,Vijay breaks \$10m mark
1,Broncos run win streak to 21
1,"NHL players, owners will meet to seek ways to save season"
3,Shawn Fanning's Snocap touts vision of P2P heaven
2,Oil Prices Hover Just Below \$50 a Barrel
1,Hu Jia crowned in men #39;s 10m platform in Athens
3,Time Warner Nears Deal Over AOL Accounting
1,Arsenal get \$300m Emirates boost
0,Who #39;s to Blame for Far-Right Extremism?
3,The Evolution Will Be Mechanized
3,Spain takes a lead in computers
1,"With 98 Medals, U.S. Tops Sydney Total (AP)"
1,UPDATE 1-Birmingham #39;s Savage banned for three games by FA
1,Rain washes out Aussie-Pakistan match
1,Glazer stake in Manchester United upped to 28.11
0,Use of Private Airport Screeners Easier (AP)
0,Ukraine Supreme Court Opens Hearing Into Vote Fraud Charges
1,Auburn waits while Ivan rolls through
1,No. 11 N.C. Trumps Tennessee 94-81 (AP)
0,Tourists freed in Peru coca siege
0,"Terrorism ; Prabhakaran turns 50, but will he change? (COMMENTARY)"
1,FIFA demand explanation from Spain
1,NBA Star Shows Up In Baltimore  #39;Snitching #39; DVD
2,Verizon Wireless Plows Ahead
1,Gatlin turns on the power to take gold
2,Dollar Regains Some Ground Lost
2,Sainsbury profit drops two-thirds
1,"In  #39;Monday Night #39; Fallout, a Deeper Racial Issue"
0,Update 1: Regulators Ask Prosecutors to Probe UFJ
0,Jerusalem bishop: Israel will miss Arafat
0,Japan Considers Sanctions Vs. N. Korea (AP)
2,CNNfn Network to Close by Mid-December
3,Game makers make play for adults
3,Games maker Eidos delays launch
